<<<<<<< HEAD
FAQ_ID,カテゴリ,質問,回答
24,Webサービス,利用ガイドはありますか？,はい、EcoTee Creatorの利用ガイドをご用意しております。初めての方でも安心してご利用いただけます。
25,価格・支払い,料金体系を教えてください,料金は商品の種類、枚数、デザインの複雑さなどによって異なります。見積もりをご依頼ください。
26,価格・支払い,見積もりは無料ですか？,はい、お見積もりは無料で承っております。お気軽にお問い合わせください。
27,価格・支払い,支払い方法は何がありますか？,銀行振込、クレジットカード決済、請求書払いなど、複数の支払い方法をご用意しております。
28,価格・支払い,分割払いはできますか？,分割払いにつきましては、ご契約内容によって異なります。詳細はお問い合わせください。
29,価格・支払い,キャンセル料はかかりますか？,製作段階によってキャンセル料が発生する場合があります。詳細はサービス提供に関する資料をご確認ください。
30,納期・配送,納期はどのくらいですか？,ご注文内容によって異なりますが、通常2～3週間程度です。お急ぎの場合はご相談ください。
31,納期・配送,急ぎの対応は可能ですか？,はい、追加料金にて特急対応も承っております。詳細はお問い合わせください。
32,納期・配送,配送先は複数指定できますか？,はい、代行出荷サービスをご利用いただければ、複数の配送先への個別発送が可能です。
33,納期・配送,配送業者はどこですか？,信頼できる配送業者と提携しております。詳細はお問い合わせください。
34,納期・配送,送料はいくらですか？,送料は配送先や数量によって異なります。お見積もり時にご案内いたします。
35,納期・配送,海外への配送は可能ですか？,海外配送につきましては、別途ご相談ください。対応可能な地域と料金をご案内いたします。
36,代行出荷,代行出荷サービスとは何ですか？,お客様に代わって、複数の配送先への個別発送を行うサービスです。
37,代行出荷,代行出荷の利用方法を教えてください,代行出荷サービスの詳細につきましては、専用資料をご確認いただくか、お問い合わせください。
38,代行出荷,配送先リストの提出方法は？,配送先リストはCSVファイルまたはExcelファイルでご提出いただけます。
39,代行出荷,個別梱包は可能ですか？,はい、個別梱包も承っております。追加料金が発生する場合があります。
40,品質・保証,品質保証はありますか？,はい、品質には万全を期しておりますが、万が一不良品があった場合は交換または返金対応いたします。
41,品質・保証,返品・交換は可能ですか？,不良品の場合は返品・交換を承ります。お客様都合による返品については、条件がございます。
42,品質・保証,プリントの耐久性はどのくらいですか？,適切なお手入れをしていただければ、長期間ご使用いただけます。洗濯方法については製品タグをご確認ください。
43,品質・保証,色落ちはしませんか？,品質管理を徹底しておりますが、洗濯方法によっては色落ちする可能性があります。洗濯表示に従ってください。
44,注文・手続き,注文の流れを教えてください,お問い合わせ→デザイン相談→見積もり→発注→製作→納品という流れになります。
45,注文・手続き,発注後の変更は可能ですか？,製作段階によっては変更が難しい場合があります。できるだけ早めにご連絡ください。
46,注文・手続き,契約書は必要ですか？,一定金額以上のご注文の場合は、契約書を締結させていただきます。
47,注文・手続き,発注書の提出は必要ですか？,法人のお客様の場合、発注書のご提出をお願いしております。
48,顧客サポート,問い合わせ方法を教えてください,本システム、メール、電話にてお問い合わせを承っております。
49,顧客サポート,過去の注文履歴は確認できますか？,はい、会員登録いただいているお客様は、マイページから過去の注文履歴をご確認いただけます。
50,顧客サポート,カタログや資料請求はできますか？,はい、各種資料をご用意しております。お問い合わせいただければ送付いたします。

=======
FAQ_ID,カテゴリ,質問,回答
1,会社情報,株式会社EcoTeeはどのような会社ですか？,株式会社EcoTeeは、環境に配慮したオリジナルTシャツの製作・販売を行う会社です。お客様のニーズに合わせたデザインから製作、出荷まで一貫してサポートしています。
2,会社情報,会社の設立はいつですか？,詳細な設立年月日については、会社概要資料をご参照ください。
3,会社情報,本社所在地はどこですか？,本社所在地につきましては、会社概要資料に記載されております。お問い合わせいただければ詳細をお知らせいたします。
4,会社情報,営業時間を教えてください,営業時間は平日9:00～18:00となっております。土日祝日は休業日です。
5,会社情報,株主優待制度はありますか？,はい、株主優待制度を実施しております。詳細は株主優待に関する資料をご確認ください。
6,会社情報,環境への取り組みについて教えてください,弊社では環境・エシカルへの取り組みを積極的に行っております。詳細は専用資料をご覧ください。
7,会社情報,採用情報はどこで確認できますか？,採用情報につきましては、弊社ホームページの採用ページをご確認いただくか、直接お問い合わせください。
8,会社情報,問い合わせ先はどこですか？,お問い合わせは本システムまたは公式ホームページのお問い合わせフォームからご連絡ください。
9,サービス内容,EcoTeeとはどのようなサービスですか？,EcoTeeは、オリジナルTシャツの製作から出荷まで一貫してサポートするサービスです。環境に配慮した素材を使用しています。
10,サービス内容,どのような商品がありますか？,Tシャツを中心に、様々なアパレル製品を取り扱っております。詳細は商品情報資料をご確認ください。
11,サービス内容,最小ロット数は何枚からですか？,最小ロット数につきましては、商品によって異なります。お問い合わせいただければ詳細をご案内いたします。
12,サービス内容,サンプル品は作成できますか？,はい、サンプル品の作成も承っております。詳細は担当者にお問い合わせください。
13,サービス内容,環境に配慮した素材とは何ですか？,オーガニックコットンやリサイクル素材など、環境負荷の少ない素材を使用しています。
14,デザイン,デザインの相談はできますか？,はい、デザインに関するご相談も承っております。専門のデザイナーがサポートいたします。
15,デザイン,デザインテンプレートはありますか？,はい、豊富なデザインテンプレートをご用意しております。EcoTee Creatorでご確認いただけます。
16,デザイン,オリジナルデザインを持ち込むことはできますか？,はい、オリジナルデザインのデータをお持ち込みいただけます。データ形式については事前にご確認ください。
17,デザイン,デザインの修正は何回までできますか？,デザイン修正の回数につきましては、ご契約プランによって異なります。詳細はサービス提供に関する資料をご確認ください。
18,デザイン,カラーバリエーションは選べますか？,はい、豊富なカラーバリエーションからお選びいただけます。商品によって選択可能なカラーが異なります。
19,Webサービス,EcoTee Creatorとは何ですか？,EcoTee Creatorは、オンラインでオリジナルTシャツのデザインができるWebサービスです。
20,Webサービス,EcoTee Creatorの利用には登録が必要ですか？,はい、ご利用には会員登録が必要です。登録は無料で行えます。
21,Webサービス,EcoTee Creatorで何ができますか？,デザインの作成、プレビュー、見積もり確認、注文まで一貫して行うことができます。
22,Webサービス,スマートフォンでも利用できますか？,はい、スマートフォンやタブレットからもご利用いただけます。
23,Webサービス,デザインデータは保存できますか？,はい、作成したデザインデータは保存して後から編集することができます。
24,Webサービス,利用ガイドはありますか？,はい、EcoTee Creatorの利用ガイドをご用意しております。初めての方でも安心してご利用いただけます。
25,価格・支払い,料金体系を教えてください,料金は商品の種類、枚数、デザインの複雑さなどによって異なります。見積もりをご依頼ください。
26,価格・支払い,見積もりは無料ですか？,はい、お見積もりは無料で承っております。お気軽にお問い合わせください。
27,価格・支払い,支払い方法は何がありますか？,銀行振込、クレジットカード決済、請求書払いなど、複数の支払い方法をご用意しております。
28,価格・支払い,分割払いはできますか？,分割払いにつきましては、ご契約内容によって異なります。詳細はお問い合わせください。
29,価格・支払い,キャンセル料はかかりますか？,製作段階によってキャンセル料が発生する場合があります。詳細はサービス提供に関する資料をご確認ください。
30,納期・配送,納期はどのくらいですか？,ご注文内容によって異なりますが、通常2～3週間程度です。お急ぎの場合はご相談ください。
31,納期・配送,急ぎの対応は可能ですか？,はい、追加料金にて特急対応も承っております。詳細はお問い合わせください。
32,納期・配送,配送先は複数指定できますか？,はい、代行出荷サービスをご利用いただければ、複数の配送先への個別発送が可能です。
33,納期・配送,配送業者はどこですか？,信頼できる配送業者と提携しております。詳細はお問い合わせください。
34,納期・配送,送料はいくらですか？,送料は配送先や数量によって異なります。お見積もり時にご案内いたします。
35,納期・配送,海外への配送は可能ですか？,海外配送につきましては、別途ご相談ください。対応可能な地域と料金をご案内いたします。
36,代行出荷,代行出荷サービスとは何ですか？,お客様に代わって、複数の配送先への個別発送を行うサービスです。
37,代行出荷,代行出荷の利用方法を教えてください,代行出荷サービスの詳細につきましては、専用資料をご確認いただくか、お問い合わせください。
38,代行出荷,配送先リストの提出方法は？,配送先リストはCSVファイルまたはExcelファイルでご提出いただけます。
39,代行出荷,個別梱包は可能ですか？,はい、個別梱包も承っております。追加料金が発生する場合があります。
40,品質・保証,品質保証はありますか？,はい、品質には万全を期しておりますが、万が一不良品があった場合は交換または返金対応いたします。
41,品質・保証,返品・交換は可能ですか？,不良品の場合は返品・交換を承ります。お客様都合による返品については、条件がございます。
42,品質・保証,プリントの耐久性はどのくらいですか？,適切なお手入れをしていただければ、長期間ご使用いただけます。洗濯方法については製品タグをご確認ください。
43,品質・保証,色落ちはしませんか？,品質管理を徹底しておりますが、洗濯方法によっては色落ちする可能性があります。洗濯表示に従ってください。
44,注文・手続き,注文の流れを教えてください,お問い合わせ→デザイン相談→見積もり→発注→製作→納品という流れになります。
45,注文・手続き,発注後の変更は可能ですか？,製作段階によっては変更が難しい場合があります。できるだけ早めにご連絡ください。
46,注文・手続き,契約書は必要ですか？,一定金額以上のご注文の場合は、契約書を締結させていただきます。
47,注文・手続き,発注書の提出は必要ですか？,法人のお客様の場合、発注書のご提出をお願いしております。
48,顧客サポート,問い合わせ方法を教えてください,本システム、メール、電話にてお問い合わせを承っております。
49,顧客サポート,過去の注文履歴は確認できますか？,はい、会員登録いただいているお客様は、マイページから過去の注文履歴をご確認いただけます。
50,顧客サポート,カタログや資料請求はできますか？,はい、各種資料をご用意しております。お問い合わせいただければ送付いたします。

>>>>>>> 19082b9f0f507b312ad681f0606f37ddb4b3a512
